pschlump=# \dt
                   List of relations
 Schema |           Name            | Type  |  Owner
--------+---------------------------+-------+----------
 public | author                    | table | pschlump
 public | bc_data                   | table | pschlump
 public | bobbob                    | table | pschlump
 public | c_abrev                   | table | pschlump
 public | c_address                 | table | pschlump
 public | c_app_config              | table | pschlump
 public | c_auth_key                | table | pschlump
 public | c_customer                | table | pschlump
 public | c_customer_note           | table | pschlump
 public | c_customer_users          | table | pschlump
 public | c_user                    | table | pschlump
 public | c_user_type               | table | pschlump
 public | d_demo1                   | table | pschlump
 public | documents                 | table | pschlump
 public | dt_category               | table | postgres
 public | dt_customer               | table | postgres
 public | dt_doc_image              | table | postgres
 public | dt_document               | table | postgres
 public | dt_tag_list               | table | postgres
 public | dt_tags                   | table | postgres
 public | dual                      | table | pschlump
 public | event                     | table | pschlump
 public | example_table             | table | pschlump
 public | exp_1                     | table | pschlump
 public | exp_3                     | table | pschlump
 public | geometries                | table | pschlump
 public | global_points             | table | pschlump
 public | h_doctor                  | table | pschlump
 public | h_tray                    | table | pschlump
 public | h_tray_location           | table | pschlump
 public | h_tray_tools              | table | pschlump
 public | h_user_attr               | table | pschlump
 public | homework                  | table | pschlump
 public | i_document                | table | pschlump
 public | idb_clasification         | table | pschlump
 public | idb_measurment            | table | pschlump
 public | idb_tag                   | table | pschlump
 public | idb_tag_value             | table | pschlump
 public | idb_value                 | table | pschlump
 public | index_documents           | table | pschlump
 public | item                      | table | pschlump
 public | jn1                       | table | pschlump
 public | jn2                       | table | pschlump
 public | jn3                       | table | pschlump
 public | lock_thing                | table | pschlump
 public | objects                   | table | pschlump
 public | part_day_001              | table | pschlump
 public | part_day_002              | table | pschlump
 public | part_day_003              | table | pschlump
 public | part_day_004              | table | pschlump
 public | part_day_005              | table | pschlump
 public | part_day_006              | table | pschlump
 public | part_day_007              | table | pschlump
 public | part_day_008              | table | pschlump
 public | part_day_009              | table | pschlump
 public | part_day_010              | table | pschlump
 public | part_demo                 | table | pschlump
 public | pattent_full              | table | pschlump
 public | policyholder              | table | pschlump
 public | post                      | table | pschlump
 public | posts_tags                | table | pschlump
 public | s_funfactor               | table | pschlump
 public | s_scoreboard              | table | pschlump
 public | s_sim                     | table | pschlump
 public | s_sim_move                | table | pschlump
 public | samp1                     | table | pschlump
 public | send_notify               | table | pschlump
 public | spatial_ref_sys           | table | pschlump
 public | states                    | table | pschlump
 public | supplyitem                | table | pschlump
 public | t                         | table | pschlump
 public | t1_customer               | table | pschlump
 public | t1_customer_users         | table | pschlump
 public | t1_user                   | table | pschlump
 public | t_2fa                     | table | pschlump
 public | t_2fa_otk                 | table | pschlump
 public | t_address                 | table | pschlump
 public | t_address_type            | table | pschlump
 public | t_animal                  | table | pschlump
 public | t_animal_type             | table | pschlump
 public | t_auth_log                | table | pschlump
 public | t_auth_token              | table | pschlump
 public | t_avail_qr                | table | pschlump
 public | t_beef_auth_token         | table | pschlump
 public | t_beef_user               | table | pschlump
 public | t_callback_host           | table | pschlump
 public | t_calving_info            | table | pschlump
 public | t_carcass                 | table | pschlump
 public | t_child                   | table | pschlump
 public | t_config                  | table | pschlump
 public | t_cow721_q                | table | pschlump
 public | t_customer                | table | pschlump
 public | t_debug_flag              | table | pschlump
 public | t_documents               | table | pschlump
 public | t_email                   | table | pschlump
 public | t_email_q                 | table | pschlump
 public | t_employee_resp           | table | pschlump
 public | t_eth_q                   | table | pschlump
 public | t_event                   | table | pschlump
 public | t_event_config            | table | pschlump
